label,acc_x_mean,acc_x_std,acc_x_max,acc_x_min,acc_y_mean,acc_y_std,acc_y_max,acc_y_min,acc_z_mean,acc_z_std,acc_z_max,acc_z_min,gyro_x_mean,gyro_x_std,gyro_x_max,gyro_x_min,gyro_y_mean,gyro_y_std,gyro_y_max,gyro_y_min,gyro_z_mean,gyro_z_std,gyro_z_max,gyro_z_min
person1,0.2208489999999999,1.959559417936397,5.243,-2.4182,-0.205789,1.6160903208766872,3.2385,-5.3174,-0.1626929999999999,2.058503986558631,3.7846,-4.5425,-0.4528000000000001,0.7764464117394261,0.664,-2.101,0.90788,0.5657466556541351,1.967,-0.188,-0.15219,0.4204404303281803,0.488,-0.905
person1,0.7190469999999999,2.5036115177900724,7.366,-4.1773,0.032208,3.545008156611265,10.039,-16.0197,-0.8835590000000001,2.7017294381167907,5.4488,-8.6161,-0.20993,0.9764680970443708,1.237,-2.101,0.8601300000000001,0.5717285266468852,1.967,-0.188,-0.35478,0.5720785702200795,0.532,-1.317
person1,0.5636610000000001,2.732580084454724,7.366,-4.1787,-0.395453,3.736095680091583,10.039,-16.0197,-0.8868970000000002,3.073051831433661,5.4488,-8.6161,0.4046100000000001,0.9759003291444482,2.081,-1.862,0.01773,1.2921060082147464,1.667,-2.445,-0.2234799999999999,0.6641439158872879,0.958,-1.317
person1,0.7049210000000002,2.8744007733293144,6.2689,-4.8525,-0.5309190000000001,3.951177005606728,8.7385,-12.532,-0.7051379999999999,3.633040154276005,10.1503,-7.5197,1.07773,0.8803782572613807,2.441,-0.256,-1.2201999999999995,1.445353900949487,1.667,-4.374,-0.08645,0.7547574280870147,1.133,-1.736
person1,0.400504,3.0515311262592903,6.2689,-5.4,-0.950977,3.757533048433735,8.7385,-12.532,-0.196181,3.599544294521351,10.1503,-7.5197,0.4439499999999999,1.1740851273922333,2.441,-1.959,-1.4217700000000002,1.5097822028693444,0.857,-4.385,-0.08482,0.6684455868851724,1.133,-1.736
person1,0.7458959999999999,3.2650462784141148,7.2485,-5.4,-0.672198,4.459875890060555,7.8101,-16.9916,-0.6197969999999999,4.5955747436128505,13.7342,-10.1626,-0.44579,0.6742144743883414,0.503,-1.959,-0.32277,1.4586043893898972,1.135,-4.385,0.0432899999999999,0.2720777256371399,0.517,-0.376
person1,0.7126190000000002,3.2530179108362147,7.2485,-5.1916,-0.595073,4.468502575205386,7.8101,-16.9916,-0.3002089999999999,4.574586291171337,13.7342,-10.1626,-0.4806299999999999,0.7171398671039695,0.585,-1.95,0.44643,0.8956293002885477,2.091,-2.473,0.1205299999999999,0.5471098435498039,1.439,-1.033
person1,0.90002,2.810252880709377,4.9904,-5.1916,-0.53384,3.5590679218757897,8.0653,-11.1732,-0.3034559999999999,3.820811788203225,8.942,-6.7408,-0.6833500000000001,0.5323455507032395,0.585,-1.887,0.59512,0.9656157535139656,2.091,-2.473,0.49944,0.6523269973833303,1.464,-1.033
person1,0.5787170000000001,2.678252899965335,4.9615,-6.0062,-0.200047,3.4805035945111524,8.0653,-11.1732,-0.038924,3.568760809380435,8.942,-6.7408,-0.20711,0.6873005296671959,0.989,-1.063,1.1263999999999998,0.6842262754086517,2.197,-0.113,0.8887900000000001,0.4883915943113061,1.466,-0.202
person1,0.533267,2.940679747229998,6.1332,-6.0709,-0.544366,3.3937363185495752,5.88,-13.0539,0.0738659999999999,3.838875660556898,13.3449,-5.3224,0.3897499999999999,0.4822427272440694,1.464,-0.493,0.0852799999999999,1.5802146387900806,2.197,-2.517,0.4431299999999999,0.7149003837506794,1.466,-0.947
