acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,label
0.358,-0.0551,0.2318,-0.243,1.072,0.134,person3
0.3227,-0.0558,0.3097,-0.174,1.167,0.114,person3
0.3188,-0.0742,0.2375,-0.148,1.163,0.106,person3
0.2461,0.1911,0.3922,0.025,1.121,0.074,person3
0.1614,0.5387,0.2338,0.064,1.11,0.071,person3
0.5371,0.364,-0.2991,0.319,1.01,0.092,person3
0.6305,0.2035,0.3911,0.37,0.994,0.113,person3
0.4564,0.1859,0.527,0.596,0.93,0.202,person3
0.44,0.0858,-0.1145,0.654,0.91,0.231,person3
0.5972,-0.2066,-0.6388,0.711,0.87,0.273,person3
0.4897,-0.4996,-0.7584,0.762,0.823,0.328,person3
0.5354,-0.783,-0.823,0.9,0.751,0.495,person3
0.6623,-0.9252,-0.7601,0.937,0.74,0.553,person3
0.7479,-0.831,-0.5151,0.972,0.744,0.611,person3
0.8051,-0.4151,-0.0198,0.998,0.759,0.669,person3
1.0433,-0.0287,0.5213,1.039,0.896,0.849,person3
1.0369,-0.0297,0.6613,1.039,0.969,0.915,person3
0.7708,-0.1403,0.4853,1.031,1.056,0.985,person3
0.5895,-0.2743,0.1449,1.016,1.151,1.054,person3
0.3767,-0.3096,0.2735,0.992,1.25,1.131,person3
0.236,-0.3299,0.5713,0.961,1.352,1.204,person3
0.1936,-0.4508,0.1658,0.928,1.456,1.279,person3
0.5289,-0.4378,-0.5331,0.889,1.551,1.346,person3
0.612,-0.557,-1.4217,0.846,1.639,1.409,person3
0.4613,-0.808,-2.0634,0.801,1.706,1.465,person3
0.0987,-0.8462,-2.0426,0.75,1.741,1.509,person3
-0.1545,-0.4709,-1.6215,0.572,1.714,1.661,person3
-0.2563,-0.0189,-0.7833,0.542,1.649,1.693,person3
0.0687,0.1913,0.05,0.515,1.565,1.725,person3
0.3187,0.2836,0.7203,0.491,1.46,1.752,person3
0.3438,0.2974,0.7234,0.432,1.028,1.808,person3
0.2228,0.3171,0.3623,0.415,0.866,1.834,person3
0.1397,-0.1852,0.4869,0.394,0.698,1.864,person3
0.3449,-0.2853,0.9635,0.375,0.538,1.899,person3
0.7066,-0.0631,1.845,0.35,0.39,1.936,person3
0.7917,0.2001,1.9284,0.323,0.257,1.982,person3
0.5056,0.4178,0.2132,0.294,0.139,2.031,person3
-0.2811,0.0451,-1.481,0.263,0.037,2.083,person3
-0.2806,-0.4021,-2.3711,0.232,-0.041,2.136,person3
-0.7747,-0.9587,-2.7342,0.201,-0.099,2.195,person3
-1.0122,-0.7232,-1.9727,0.166,-0.135,2.256,person3
0.4443,0.2463,-0.7907,0.061,-0.125,2.488,person3
1.1526,0.8229,-0.3363,0.038,-0.107,2.539,person3
0.6824,1.0366,-2.0678,0.014,-0.089,2.581,person3
-0.289,0.7285,-3.0202,-0.01,-0.07,2.618,person3
-1.0391,1.121,-2.8631,-0.099,-0.077,2.591,person3
-1.001,0.8027,-2.3512,-0.128,-0.112,2.523,person3
-0.5783,0.3656,-1.3516,-0.155,-0.148,2.404,person3
0.7049,-0.2248,-0.7473,-0.175,-0.184,2.234,person3
2.1248,-0.5842,-0.4259,-0.208,-0.151,1.178,person3
2.9201,-0.5791,-0.595,-0.187,-0.085,0.864,person3
3.2493,-0.8289,-1.2866,-0.153,-0.012,0.558,person3
2.8318,0.128,-3.7859,0.153,0.157,-0.54,person3
-0.3624,2.1125,-0.7231,0.233,0.139,-0.674,person3
-1.2323,0.1592,-0.0278,0.317,0.107,-0.781,person3
-0.8113,-0.8743,-0.6478,0.698,-0.1,-1.073,person3
-0.7586,0.3505,-1.9546,0.8,-0.174,-1.125,person3
-0.6158,0.6322,-2.7324,0.901,-0.257,-1.17,person3
0.097,0.4303,-2.4145,1.283,-0.402,-1.309,person3
0.8834,0.8705,-0.8007,1.349,-0.175,-1.323,person3
1.1451,1.1368,0.9454,1.418,0.072,-1.337,person3
0.5914,1.0593,2.5784,1.493,0.22,-1.349,person3
-0.5933,0.983,3.7803,1.848,0.114,-1.295,person3
-1.9658,1.064,4.3654,1.923,0.101,-1.246,person3
-3.022,1.1182,4.2856,1.987,0.082,-1.185,person3
-3.8961,1.2795,3.7944,2.04,0.017,-1.111,person3
-4.1437,1.3725,2.8295,2.092,-0.63,-0.855,person3
-4.0943,1.3799,2.0526,2.069,-0.971,-0.782,person3
-3.5433,1.5063,1.6015,2.023,-1.329,-0.726,person3
-2.7392,1.6591,1.0157,1.961,-1.674,-0.683,person3
-2.3482,1.5488,0.8009,1.659,-2.599,-0.647,person3
-2.6358,1.3258,0.8656,1.581,-2.692,-0.662,person3
-3.2912,1.375,1.2754,1.513,-2.752,-0.676,person3
-3.6817,1.3244,1.6466,1.45,-2.782,-0.686,person3
-3.9178,1.3904,1.8402,1.285,-2.775,-0.684,person3
-4.1656,1.3754,1.8512,1.241,-2.754,-0.668,person3
-3.9005,1.3092,1.6416,1.207,-2.733,-0.646,person3
-3.6517,1.0709,1.7304,1.181,-2.707,-0.621,person3
