acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,label
-0.763,0.303,-1.678,-1.237,-0.685,0.018,person1
-0.3577,0.0746,-1.894,-1.177,-0.657,0.068,person1
-0.1698,-0.2274,-2.2215,-1.094,-0.623,0.02,person1
-0.2632,-0.3467,-2.6569,-0.948,-0.55,-0.107,person1
-0.3703,-0.1566,-3.2412,-0.909,-0.523,-0.129,person1
-0.4965,0.0702,-3.698,-0.763,-0.407,-0.161,person1
-0.4182,0.3723,-3.8348,-0.71,-0.351,-0.163,person1
3.4001,0.4072,5.729,-0.66,-0.286,-0.159,person1
2.3543,1.0532,10.4158,-0.604,-0.22,-0.151,person1
4.9291,2.1698,5.4202,-0.544,-0.155,-0.133,person1
-1.6151,2.1397,1.0396,-0.369,0.046,-0.039,person1
-2.2735,2.2804,2.3385,-0.308,0.106,0.004,person1
-2.619,0.8556,0.5217,-0.25,0.162,0.048,person1
-3.7064,-0.1435,-1.5464,-0.198,0.215,0.088,person1
-3.2942,-0.4389,-1.691,-0.042,0.363,0.22,person1
2.4115,-0.1498,-2.3494,-0.013,0.385,0.25,person1
3.4966,1.2648,-1.9349,0.009,0.409,0.281,person1
1.3455,0.5129,-2.2101,0.032,0.433,0.311,person1
-0.0533,-0.3598,-1.7177,0.087,0.524,0.376,person1
-0.2186,-0.0111,-0.3685,0.097,0.556,0.392,person1
-0.4611,1.1002,0.257,0.109,0.585,0.408,person1
-0.9545,1.0846,0.343,0.112,0.61,0.419,person1
-0.9325,0.3276,0.1796,0.115,0.629,0.43,person1
0.1735,-0.1076,-0.0748,0.104,0.662,0.429,person1
1.0067,-0.5774,-0.0161,0.111,0.683,0.427,person1
1.2434,-1.0753,0.2751,0.12,0.72,0.434,person1
1.5143,-1.2545,0.5401,0.129,0.811,0.471,person1
1.5652,-1.5361,0.5149,0.113,0.803,0.478,person1
0.9681,-1.6471,0.7306,0.089,0.778,0.48,person1
-0.466,-0.7407,0.5212,0.058,0.745,0.473,person1
0.1127,-0.2647,1.1056,0.022,0.711,0.461,person1
1.0379,-1.1361,1.1817,-0.013,0.689,0.451,person1
1.3445,-1.7995,1.1734,-0.051,0.684,0.436,person1
1.4228,-1.7344,1.0188,-0.086,0.693,0.428,person1
1.2012,-1.7104,0.6169,-0.12,0.717,0.418,person1
0.4618,-0.8243,0.4442,-0.146,0.753,0.414,person1
-0.5425,0.3093,0.4589,-0.174,0.796,0.414,person1
-0.7999,1.0216,0.6137,-0.203,0.839,0.416,person1
-0.4376,0.7444,0.3934,-0.236,0.879,0.421,person1
0.1975,0.6436,0.334,-0.27,0.907,0.425,person1
0.3542,0.0004,0.5852,-0.315,0.922,0.428,person1
0.3781,0.9097,1.5605,-0.364,0.925,0.427,person1
-0.5034,1.2097,1.589,-0.417,0.916,0.425,person1
-0.3041,1.3684,0.5817,-0.475,0.905,0.421,person1
-0.2912,1.5219,0.0828,-0.73,0.952,0.353,person1
-0.1945,0.9244,-0.3918,-0.789,1.023,0.323,person1
0.0687,0.0168,-0.4528,-0.846,1.094,0.303,person1
0.0828,-0.2963,-0.0026,-0.901,1.15,0.3,person1
0.1647,-0.6602,0.5411,-1.086,1.222,0.312,person1
0.8493,-1.0552,1.1234,-1.165,1.215,0.32,person1
1.6345,-1.4732,1.5069,-1.241,1.197,0.332,person1
2.2764,-1.8017,1.3473,-1.317,1.169,0.35,person1
2.0479,-2.0188,-0.3261,-1.673,1.079,0.427,person1
1.0439,-1.9319,-3.1385,-1.765,1.07,0.448,person1
1.5909,-2.0597,-4.0212,-1.859,1.059,0.471,person1
4.091,-2.2029,-4.9899,-1.954,1.057,0.493,person1
4.0337,-2.792,-8.6519,-2.255,1.086,0.539,person1
