acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,label
0.6017,-0.0121,-0.6269,-0.236,0.892,0.217,person3
0.5746,0.0003,-0.3618,-0.27,1.005,0.3,person3
0.5698,-0.0731,-0.0624,-0.361,0.926,0.344,person3
0.5282,-0.0304,0.1529,-0.4,0.772,0.357,person3
0.5837,-0.0719,0.3256,-0.396,0.743,0.358,person3
0.6989,-0.0787,0.3194,-0.384,0.718,0.362,person3
0.7268,-0.0025,0.1873,-0.24,0.632,0.382,person3
0.6637,0.0885,-0.0186,-0.132,0.577,0.394,person3
0.6188,0.0851,-0.2433,-0.089,0.557,0.391,person3
0.4925,0.1767,-0.366,-0.046,0.544,0.387,person3
0.1874,-0.0898,-0.2229,-0.002,0.536,0.38,person3
-0.0094,0.0026,0.1424,0.045,0.53,0.372,person3
-0.3449,0.4779,-0.0654,0.34,0.552,0.252,person3
0.0857,0.324,0.4229,0.374,0.552,0.229,person3
0.3073,0.1593,0.5502,0.446,0.542,0.182,person3
0.2677,0.309,0.5743,0.483,0.538,0.161,person3
0.3764,0.1407,0.5837,0.515,0.534,0.141,person3
0.2873,0.2927,0.2522,0.545,0.534,0.129,person3
0.4244,0.2042,0.2792,0.62,0.572,0.131,person3
0.6199,0.2371,0.3074,0.64,0.594,0.142,person3
0.8736,0.2577,0.195,0.655,0.619,0.165,person3
1.0694,0.1426,-0.1671,0.667,0.645,0.187,person3
1.3097,-0.2269,-0.4353,0.677,0.664,0.218,person3
1.2079,-0.5044,-0.5405,0.675,0.703,0.31,person3
1.2402,-0.4489,-0.0279,0.663,0.719,0.344,person3
1.0233,-0.0605,0.576,0.647,0.733,0.376,person3
0.7004,0.3098,0.8932,0.624,0.735,0.4,person3
0.5694,0.0862,0.9235,0.598,0.735,0.415,person3
0.5745,-0.2332,0.4243,0.427,0.706,0.448,person3
0.2596,-0.1259,0.1091,0.384,0.701,0.445,person3
0.1649,0.5597,0.5343,0.199,0.606,0.391,person3
0.9413,1.2809,0.823,0.163,0.571,0.369,person3
0.3369,0.9609,0.6343,0.133,0.549,0.35,person3
0.3611,0.1538,-0.3369,0.045,0.479,0.302,person3
0.8759,-0.4493,-1.226,0.02,0.464,0.293,person3
1.6625,-1.8744,-1.8151,-0.003,0.452,0.292,person3
1.256,-0.5251,-0.9313,-0.02,0.446,0.293,person3
1.4896,0.3046,0.1354,-0.049,0.443,0.342,person3
1.8139,0.4668,0.7127,-0.048,0.394,0.388,person3
1.5278,-0.5021,0.0596,-0.042,0.35,0.411,person3
1.8867,-1.3794,-0.5188,-0.028,0.309,0.441,person3
1.5591,-1.0984,-0.7969,0.021,0.12,0.537,person3
1.0951,0.0952,0.1215,0.043,0.036,0.57,person3
1.8286,0.2391,0.3056,0.067,-0.039,0.602,person3
2.2005,0.6473,0.8186,0.091,-0.107,0.627,person3
2.3972,-0.0914,0.9317,0.115,-0.166,0.653,person3
2.0639,-1.0051,1.3254,0.139,-0.223,0.685,person3
0.9176,-1.503,1.0504,0.161,-0.279,0.714,person3
-0.2798,-1.6824,0.028,0.179,-0.333,0.748,person3
-1.2438,-1.5859,-1.0519,0.188,-0.38,0.787,person3
-2.2851,-1.8027,-2.0144,0.189,-0.418,0.826,person3
-2.8599,-1.9601,-2.7729,0.179,-0.441,0.866,person3
-3.5228,-2.1448,-2.0477,0.086,-0.425,0.964,person3
-3.6021,-2.7124,-1.5361,0.048,-0.433,0.997,person3
-3.3353,-3.0844,-0.7052,0.007,-0.448,1.031,person3
-2.976,-3.2814,-0.1681,-0.036,-0.469,1.067,person3
-2.82,-3.3079,0.5853,-0.078,-0.496,1.103,person3
-3.1844,-3.7488,0.5647,-0.122,-0.521,1.144,person3
-3.7629,-4.1219,0.023,-0.164,-0.539,1.186,person3
-4.1625,-3.9618,-0.3988,-0.206,-0.55,1.233,person3
-4.9056,-3.7664,-0.8853,-0.25,-0.549,1.283,person3
-4.7596,-3.491,-1.8617,-0.296,-0.542,1.332,person3
-3.8805,-3.0137,-2.9407,-0.345,-0.534,1.376,person3
-3.2022,-2.5909,-3.2964,-0.664,-0.723,1.428,person3
-2.245,-1.981,-2.8571,-0.75,-0.752,1.416,person3
-0.7295,-1.2546,-2.3481,-0.832,-0.759,1.407,person3
0.3868,-0.6777,-1.8958,-0.905,-0.773,1.39,person3
1.1446,0.0012,-0.8936,-1.061,-0.657,1.327,person3
1.7924,0.8212,0.3301,-1.067,-0.629,1.324,person3
2.4862,1.0259,0.9447,-1.065,-0.596,1.321,person3
3.3979,1.509,1.1041,-1.061,-0.554,1.314,person3
3.9719,1.8926,0.7725,-1.054,-0.496,1.304,person3
4.2424,2.4503,0.6247,-1.047,-0.425,1.285,person3
3.3605,2.8345,0.565,-1.039,-0.337,1.262,person3
1.759,2.8266,0.6261,-1.021,-0.239,1.23,person3
0.5224,2.4752,1.1379,-0.995,-0.125,1.191,person3
0.2748,2.1993,1.6805,-0.956,-0.008,1.135,person3
0.5247,2.2902,1.7304,-0.906,0.096,1.065,person3
1.2116,2.649,1.3709,-0.702,0.315,0.801,person3
1.9902,3.0762,0.6923,-0.612,0.369,0.707,person3
2.0785,3.8873,0.1015,-0.516,0.408,0.616,person3
2.3075,3.5604,-0.8414,-0.407,0.423,0.525,person3
2.1776,3.7404,-1.7222,-0.284,0.41,0.435,person3
3.0658,4.6444,-2.0141,-0.152,0.371,0.351,person3
2.8779,4.9924,-2.7921,-0.008,0.316,0.266,person3
2.2265,4.5887,-4.1826,0.145,0.233,0.183,person3
0.7994,3.3145,-4.3812,0.295,0.115,0.105,person3
0.8184,2.8576,-2.8146,0.445,-0.033,0.035,person3
0.2408,2.8644,-2.4412,0.587,-0.217,-0.034,person3
-0.4406,2.7516,-2.3211,0.722,-0.429,-0.095,person3
-1.289,2.1315,-2.5219,0.847,-0.67,-0.152,person3
-1.5691,2.1083,-2.4482,0.974,-0.967,-0.192,person3
-1.1974,1.4917,-2.4768,1.09,-1.274,-0.227,person3
-0.6009,0.872,-1.957,1.202,-1.572,-0.261,person3
-1.018,0.6279,-1.6977,1.308,-1.859,-0.293,person3
-1.1533,0.6322,-1.2943,1.408,-2.13,-0.325,person3
-1.1641,0.7106,-1.1355,1.734,-3.113,-0.46,person3
-1.2124,0.5655,-1.3838,1.792,-3.324,-0.495,person3
-1.3085,0.791,-1.3626,1.845,-3.512,-0.527,person3
-1.7344,1.5541,-0.9028,1.894,-3.672,-0.556,person3
-2.5684,1.3241,-1.2375,1.992,-4.02,-0.642,person3
-2.2178,0.037,-1.4516,2.013,-4.088,-0.664,person3
-1.8982,-0.3101,-1.0953,2.026,-4.127,-0.681,person3
