acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,label
2.145,-1.4451,-0.284,1.067,-3.118,2.404,person2
2.3936,-1.4303,-0.0543,1.047,-3.027,2.415,person2
2.4175,-1.4925,-0.1098,1.032,-2.956,2.422,person2
2.1868,-1.5283,-0.6046,1.035,-2.836,2.44,person2
0.5012,-0.8045,-0.6406,1.047,-2.822,2.442,person2
-0.8145,-0.4936,-1.6267,1.064,-2.819,2.444,person2
-2.9427,0.6527,0.1909,1.085,-2.828,2.444,person2
-1.2544,0.1216,-0.3543,1.18,-2.899,2.45,person2
-0.7862,0.305,0.0942,1.207,-2.909,2.454,person2
-0.5411,0.3557,0.1977,1.23,-2.921,2.463,person2
-0.0133,0.2143,0.4334,1.254,-2.926,2.468,person2
0.5661,-0.1619,0.4056,1.346,-2.93,2.493,person2
0.2914,-0.0174,0.1945,1.366,-2.921,2.501,person2
-0.0994,0.4574,-0.1617,1.386,-2.906,2.512,person2
-0.382,0.5277,-0.4296,1.401,-2.885,2.529,person2
-0.364,0.0511,-0.4274,1.441,-2.807,2.589,person2
-0.4273,-0.2334,-0.2108,1.454,-2.774,2.615,person2
-0.3219,-0.1059,-0.1285,1.467,-2.739,2.643,person2
-0.1643,0.2171,-0.1057,1.478,-2.707,2.672,person2
-0.0043,0.7203,-0.2177,1.538,-2.594,2.79,person2
-0.0993,0.9661,-0.1084,1.557,-2.57,2.808,person2
-0.115,1.1893,-0.0027,1.581,-2.551,2.824,person2
-0.7114,1.6822,0.173,1.61,-2.531,2.832,person2
-0.5127,1.8109,0.3573,1.672,-2.507,2.832,person2
-0.7424,2.0904,0.6475,1.78,-2.477,2.791,person2
-1.1088,2.6134,0.9135,1.821,-2.473,2.773,person2
-1.4531,3.5292,0.7112,1.857,-2.473,2.754,person2
-2.3645,4.1039,0.5145,1.949,-2.485,2.687,person2
-2.8594,3.8701,0.5766,1.976,-2.488,2.663,person2
-2.756,3.6558,0.8433,1.997,-2.494,2.641,person2
-2.3941,3.8146,0.9413,2.015,-2.499,2.62,person2
-1.8273,3.7603,0.7578,2.048,-2.504,2.546,person2
-1.6542,3.3236,0.4537,2.049,-2.504,2.533,person2
-1.4802,3.7123,0.0563,2.044,-2.508,2.524,person2
-1.2918,4.0977,-0.1803,2.036,-2.514,2.521,person2
-1.2637,3.9623,-0.2638,1.992,-2.565,2.346,person2
-1.7599,4.5897,-0.4836,2.006,-2.553,2.306,person2
-2.2642,4.9519,-1.2107,2.025,-2.542,2.267,person2
-2.3909,5.018,-1.5264,2.046,-2.53,2.221,person2
-2.379,4.9991,-1.563,2.068,-2.519,2.178,person2
-2.6476,4.6148,-1.0378,2.139,-2.468,2.042,person2
-2.696,4.3242,-0.5988,2.28,-2.192,1.772,person2
-0.8856,2.5813,-0.4545,2.302,-2.123,1.734,person2
-0.4338,-0.4024,-0.305,2.316,-2.054,1.702,person2
0.4909,-4.5611,-0.5603,2.326,-1.985,1.671,person2
2.4578,-10.0187,-0.3262,2.309,-1.72,1.584,person2
3.1836,-14.3354,-1.335,2.29,-1.654,1.571,person2
1.8746,-18.1291,-0.0272,2.267,-1.585,1.556,person2
0.3339,-20.8504,0.6155,2.245,-1.516,1.548,person2
-1.0299,-19.0941,0.4872,2.154,-1.315,1.533,person2
0.0235,-12.0184,-0.4083,2.116,-1.257,1.532,person2
0.8408,-7.3664,-0.2277,2.077,-1.2,1.535,person2
3.0225,-0.1025,-1.1276,2.034,-1.148,1.541,person2
3.3522,2.8609,-0.979,1.99,-1.1,1.545,person2
3.0969,3.3295,-0.2304,1.945,-1.05,1.548,person2
2.7911,3.3386,-0.5595,1.898,-1.002,1.546,person2
2.1447,2.9174,-0.9704,1.841,-0.945,1.539,person2
1.0228,1.6317,-0.9318,1.778,-0.879,1.53,person2
-0.1852,0.2067,-0.4694,1.708,-0.811,1.516,person2
-0.4962,-0.0943,-0.6433,1.638,-0.748,1.502,person2
-0.9811,-0.1978,-0.7972,1.382,-0.566,1.448,person2
-1.1571,-0.1724,-1.1485,1.327,-0.534,1.436,person2
-1.4038,0.1786,-1.362,1.275,-0.509,1.426,person2
-1.5835,0.6368,-1.0795,1.23,-0.485,1.415,person2
-1.6174,1.2442,-0.2424,1.082,-0.427,1.397,person2
-1.429,1.4722,0.32,1.055,-0.42,1.396,person2
-1.0119,1.4332,0.3464,1.034,-0.42,1.391,person2
-0.3226,0.7173,-0.0595,1.0,-0.448,1.391,person2
0.3399,-0.1323,-0.4,1.075,-0.512,1.358,person2
0.6859,-0.6493,-0.5699,1.093,-0.518,1.343,person2
0.8598,-0.7089,-0.6624,1.113,-0.52,1.323,person2
0.8606,-0.4661,-0.5367,1.122,-0.523,1.298,person2
0.8257,-0.0685,-0.4263,1.129,-0.528,1.261,person2
0.79,0.2716,-0.3518,1.136,-0.519,1.228,person2
0.8751,0.5102,-0.2395,1.143,-0.501,1.197,person2
1.0782,0.5218,-0.144,1.154,-0.478,1.164,person2
1.2627,0.2519,-0.1322,1.166,-0.451,1.127,person2
1.4163,-0.0642,-0.1809,1.169,-0.422,1.086,person2
1.4561,-0.4835,-0.2792,1.167,-0.394,1.045,person2
1.5239,-1.0067,-0.3348,1.064,-0.248,0.854,person2
1.6313,-1.5304,-0.3698,1.008,-0.197,0.809,person2
1.6648,-1.9297,-0.3801,0.927,-0.123,0.766,person2
1.7824,-2.2574,-0.3593,0.801,-0.008,0.736,person2
1.8462,-2.4736,-0.3979,-0.118,0.598,0.731,person2
1.9263,-2.6301,-0.4446,-0.382,0.713,0.758,person2
2.054,-2.6984,-0.508,-0.633,0.797,0.786,person2
2.0808,-2.5698,-0.6542,-0.853,0.863,0.812,person2
2.0353,-2.2287,-0.7948,-1.368,0.994,0.788,person2
1.9183,-1.7099,-0.9367,-1.411,1.008,0.752,person2
1.7802,-1.2106,-1.1189,-1.427,1.015,0.705,person2
1.6732,-0.7683,-1.2962,-1.165,0.932,0.411,person2
1.553,-0.3525,-1.4552,-1.053,0.899,0.344,person2
1.4446,0.0206,-1.6126,-0.924,0.863,0.281,person2
1.3355,0.3452,-1.8441,-0.296,0.792,-0.002,person2
1.3461,0.5567,-2.3685,-0.213,0.762,-0.049,person2
1.3824,0.446,-3.1134,-0.111,0.454,-0.24,person2
1.6387,0.1738,-3.8687,-0.126,0.413,-0.26,person2
1.9614,-0.1742,-5.0028,-0.154,0.174,-0.357,person2
2.1737,-0.4737,-5.8302,-0.14,0.116,-0.371,person2
2.1187,-0.5961,-5.8059,-0.122,0.058,-0.384,person2
1.3275,-0.4294,-4.8715,-0.008,-0.3,-0.462,person2
0.3169,-0.2355,-3.5929,0.015,-0.387,-0.488,person2
-0.4545,-0.4216,-1.8333,0.132,-0.88,-0.704,person2
-1.1699,-1.0045,0.0323,0.162,-0.984,-0.76,person2
-1.8456,-1.6904,1.3637,0.194,-1.082,-0.811,person2
-2.7298,-2.4641,2.1192,0.278,-1.448,-0.889,person2
-3.2637,-3.1221,2.5786,0.273,-1.502,-0.864,person2
-3.769,-3.7596,3.0578,0.205,-1.682,-0.546,person2
-4.1548,-4.2254,3.8689,0.205,-1.7,-0.469,person2
-4.152,-4.0991,5.0742,0.288,-1.728,-0.11,person2
-3.856,-3.5056,6.9727,0.318,-1.744,-0.054,person2
-3.4208,-2.3453,7.8634,0.35,-1.762,-0.003,person2
-2.707,-1.1295,6.7541,0.58,-1.876,0.12,person2
-1.8719,-0.4063,4.6078,0.635,-1.894,0.117,person2
