acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,label
0.2235,0.0455,-0.3706,-0.216,-0.35,0.261,person2
0.3604,-0.0436,-0.3054,-0.161,-0.448,0.17,person2
0.3369,0.0209,-0.3026,-0.099,-0.447,0.202,person2
0.317,0.0316,-0.301,-0.047,-0.455,0.233,person2
0.2582,0.0,-0.3096,-0.034,-0.458,0.238,person2
0.1588,0.0614,-0.3651,-0.021,-0.461,0.239,person2
-0.0379,0.1601,-0.4994,-0.004,-0.463,0.234,person2
0.044,0.0374,-0.4891,0.009,-0.465,0.231,person2
0.1225,-0.018,-0.4189,0.022,-0.471,0.223,person2
-0.0267,0.119,-0.4888,0.039,-0.478,0.215,person2
-0.0853,0.0729,-0.4112,0.057,-0.483,0.202,person2
-0.0435,0.0094,-0.4517,0.073,-0.485,0.189,person2
-0.0485,0.1448,-0.2662,0.195,-0.489,-0.008,person2
-0.1038,0.0253,-0.3686,0.204,-0.505,-0.038,person2
-0.0374,-0.1115,-0.219,0.208,-0.523,-0.067,person2
-0.226,-0.0121,-0.3686,0.212,-0.536,-0.096,person2
-0.1068,-0.0007,-0.2429,0.212,-0.547,-0.127,person2
-0.1222,0.042,-0.2393,0.212,-0.558,-0.158,person2
-0.0151,0.0007,-0.103,0.225,-0.656,-0.258,person2
-0.0979,0.0361,-0.1198,0.231,-0.697,-0.278,person2
0.0544,-0.0605,-0.0272,0.239,-0.746,-0.299,person2
-0.0115,-0.0201,-0.0883,0.248,-0.802,-0.319,person2
0.0888,-0.0697,-0.0791,0.286,-1.04,-0.407,person2
-0.0353,0.0139,-0.2296,0.291,-1.102,-0.428,person2
0.0793,-0.0697,-0.202,0.291,-1.18,-0.452,person2
-0.091,0.1232,-0.2874,0.259,-1.536,-0.529,person2
-0.0229,0.0044,-0.1594,0.246,-1.631,-0.542,person2
-0.1336,-0.1008,-0.2281,0.234,-1.734,-0.551,person2
-0.1424,-0.0838,-0.1516,0.227,-1.84,-0.554,person2
0.0352,-0.2574,-0.0992,0.223,-1.956,-0.555,person2
0.2298,0.1001,-0.1757,0.223,-2.08,-0.549,person2
-0.1553,0.7167,0.1114,0.226,-2.203,-0.536,person2
-0.603,0.3461,-0.1296,0.226,-2.318,-0.521,person2
-0.3733,0.1451,-0.0768,0.217,-2.419,-0.499,person2
-0.1521,0.1457,0.0531,0.213,-2.511,-0.473,person2
-0.0568,0.1844,0.2416,0.245,-2.84,-0.407,person2
-0.096,0.3601,0.4156,0.263,-2.958,-0.388,person2
-0.3462,0.8301,0.5723,0.282,-3.084,-0.376,person2
-0.4257,1.0096,0.6491,0.298,-3.213,-0.374,person2
-0.4399,1.3281,0.8412,0.313,-3.349,-0.375,person2
-0.8807,1.7351,0.9102,0.344,-3.79,-0.408,person2
-0.64,1.4434,0.8662,0.347,-3.933,-0.419,person2
-0.5723,2.1242,0.9848,0.339,-4.071,-0.431,person2
-0.6464,2.1664,0.8886,0.32,-4.21,-0.447,person2
-0.7347,2.1815,0.8576,0.177,-4.661,-0.527,person2
-0.7993,2.3419,0.7749,0.131,-4.725,-0.542,person2
-0.7545,1.6603,0.7994,0.075,-4.753,-0.549,person2
-0.8614,2.2221,0.75,0.01,-4.76,-0.546,person2
-0.7764,1.8302,0.6724,-0.232,-4.653,-0.527,person2
-0.6644,1.4446,0.7442,-0.313,-4.575,-0.519,person2
-0.6576,1.7987,0.7174,-0.388,-4.5,-0.518,person2
-0.6001,1.508,0.7193,-0.461,-4.408,-0.518,person2
-0.494,1.88,0.6068,-0.528,-4.306,-0.528,person2
-0.2985,1.8692,0.6848,-0.59,-4.199,-0.55,person2
-0.1828,1.7263,0.6746,-0.638,-4.073,-0.573,person2
0.0269,1.1645,0.6602,-0.676,-3.929,-0.589,person2
-0.0008,1.3849,0.4558,-0.701,-3.761,-0.606,person2
-0.157,1.4164,-0.0785,-0.718,-3.584,-0.615,person2
-0.529,1.0405,-0.7558,-0.717,-3.42,-0.62,person2
-1.2198,2.4823,-1.7838,-0.669,-2.728,-0.582,person2
-1.5313,2.9644,-1.8355,-0.667,-2.56,-0.573,person2
-1.6552,3.5277,-1.3637,-0.668,-2.407,-0.569,person2
-2.1075,4.179,-0.8655,-0.686,-2.269,-0.578,person2
-1.8452,4.5526,-0.7019,-0.783,-1.952,-0.592,person2
-1.7533,4.7956,-0.5545,-0.826,-1.893,-0.603,person2
-0.4847,3.4927,-0.2924,-0.876,-1.854,-0.612,person2
0.0821,1.2135,0.075,-0.928,-1.824,-0.615,person2
0.8459,-1.6764,0.5429,-0.98,-1.81,-0.616,person2
1.374,-4.8481,1.0225,-1.108,-1.804,-0.593,person2
1.9303,-7.7543,1.2938,-1.136,-1.817,-0.589,person2
2.1812,-10.2254,1.3496,-1.164,-1.851,-0.592,person2
2.2241,-12.2682,1.4628,-1.189,-1.885,-0.589,person2
1.8865,-12.767,1.2196,-1.209,-2.037,-0.6,person2
1.0195,-9.8487,0.9646,-1.205,-2.082,-0.603,person2
0.969,-5.7395,0.4481,-1.186,-2.121,-0.603,person2
1.1303,-2.6283,-0.0224,-1.163,-2.172,-0.602,person2
1.1143,-0.3816,-0.3204,-1.139,-2.23,-0.6,person2
1.019,1.0535,-0.4137,-1.107,-2.305,-0.601,person2
0.921,2.1195,-0.3063,-1.072,-2.374,-0.611,person2
0.8892,2.8866,-0.1881,-1.026,-2.423,-0.618,person2
0.8164,3.0906,-0.0949,-0.97,-2.471,-0.634,person2
0.5799,2.1396,0.0314,-0.916,-2.525,-0.656,person2
0.3635,0.845,0.027,-0.856,-2.579,-0.677,person2
0.235,-0.0825,-0.0115,-0.561,-2.617,-0.784,person2
0.0537,-0.5976,-0.1992,-0.493,-2.621,-0.808,person2
-0.0316,-0.8694,-0.3854,-0.429,-2.612,-0.83,person2
-0.0832,-0.8013,-0.587,-0.366,-2.578,-0.847,person2
-0.0206,-0.4673,-0.7063,-0.203,-2.365,-0.911,person2
0.0845,-0.1377,-0.7071,-0.163,-2.279,-0.93,person2
0.2356,0.1205,-0.7509,-0.121,-2.182,-0.941,person2
0.4085,0.2218,-0.7493,-0.087,-2.075,-0.953,person2
0.5923,0.2708,-0.6479,-0.054,-1.953,-0.963,person2
0.6989,0.2875,-0.514,0.063,-1.467,-0.95,person2
0.8223,0.1535,-0.334,0.093,-1.354,-0.939,person2
0.8758,-0.0275,-0.2411,0.122,-1.239,-0.927,person2
0.9547,-0.2182,-0.0102,0.377,-0.647,-0.87,person2
1.0442,-0.4109,0.0024,0.429,-0.52,-0.869,person2
1.1008,-0.6216,-0.1016,0.479,-0.404,-0.869,person2
1.2629,-0.6879,-0.1413,0.625,-0.086,-0.875,person2
1.475,-0.7892,-0.2089,0.669,-0.015,-0.879,person2
1.7972,-0.9569,-0.276,0.711,0.044,-0.888,person2
2.0909,-1.1707,-0.3683,0.759,0.106,-0.891,person2
2.3674,-1.3685,-0.4517,0.801,0.149,-0.897,person2
2.5441,-1.4941,-0.5189,0.845,0.171,-0.907,person2
2.7623,-1.5055,-0.5662,0.885,0.177,-0.918,person2
2.9486,-1.3572,-0.6298,0.927,0.172,-0.922,person2
3.0412,-0.9463,-0.6758,0.962,0.148,-0.93,person2
3.1819,-0.4168,-0.6871,1.006,0.131,-0.939,person2
3.2044,0.1167,-0.7494,1.06,0.12,-0.943,person2
