acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,label
-0.0693,-0.2534,-0.0268,-0.772,0.175,-1.087,person1
-0.3307,-0.2414,0.1552,-0.453,0.146,-0.926,person1
-0.8159,0.4865,-0.1495,-0.354,0.044,-0.908,person1
-0.5914,0.9316,-0.4404,-0.295,0.001,-0.906,person1
-0.8955,1.3509,-0.9969,-0.231,-0.036,-0.899,person1
-1.1867,1.2697,-1.0107,0.053,-0.186,-0.814,person1
-1.2733,1.5517,-1.1993,0.129,-0.237,-0.773,person1
-1.2293,1.5739,-1.2179,0.202,-0.27,-0.726,person1
-1.1498,1.4223,-0.9957,0.268,-0.293,-0.679,person1
-0.5952,1.2837,-0.616,0.52,-0.355,-0.3,person1
-0.3346,0.983,-0.4136,0.398,-0.385,0.026,person1
-0.5444,0.7005,-0.6132,0.211,-0.008,0.256,person1
-0.5065,0.5534,-0.8949,0.182,0.294,0.232,person1
-0.4089,0.613,-0.6837,0.172,0.316,0.179,person1
-0.6413,0.4838,0.2523,0.161,0.344,0.115,person1
-0.4109,0.4848,0.5325,0.195,0.491,-0.159,person1
0.0093,0.2028,0.2832,0.215,0.491,-0.201,person1
0.4406,-0.3375,0.0316,0.226,0.478,-0.241,person1
0.6948,-0.8596,0.1743,0.23,0.409,-0.425,person1
0.9863,-1.3798,0.5004,0.223,0.398,-0.471,person1
1.2253,-1.9222,0.6764,0.212,0.392,-0.511,person1
1.3023,-2.1371,0.864,0.154,0.416,-0.562,person1
1.1824,-1.9443,1.0377,0.137,0.459,-0.557,person1
0.8713,-1.4844,1.0699,0.108,0.591,-0.53,person1
0.8963,-1.1327,1.0383,0.093,0.662,-0.514,person1
1.2665,-1.585,0.8789,0.014,0.903,-0.414,person1
1.3898,-2.1051,0.6657,-0.002,0.919,-0.389,person1
1.6722,-2.2177,0.4195,-0.01,0.916,-0.364,person1
1.5402,-1.1916,0.1416,-0.001,0.642,-0.201,person1
1.0798,-0.462,-0.0695,0.008,0.585,-0.156,person1
0.7476,-0.0496,-0.5166,0.174,0.263,0.17,person1
0.4676,0.0498,-0.9647,0.268,0.038,0.317,person1
0.4692,0.2284,-0.8711,0.263,0.028,0.321,person1
0.7109,0.8001,0.7457,0.079,0.193,0.22,person1
0.5204,1.0233,1.6118,0.036,0.27,0.184,person1
0.7455,0.5876,0.5704,-0.143,0.739,-0.009,person1
1.1545,0.4278,-0.1422,-0.146,0.781,-0.033,person1
1.0678,0.0854,-0.4223,-0.039,0.819,-0.132,person1
1.0199,-0.2753,-0.2056,-0.027,0.795,-0.139,person1
0.7385,-0.536,-0.4621,-0.016,0.773,-0.153,person1
0.5552,-0.543,-0.6371,-0.008,0.751,-0.169,person1
0.8538,-0.7225,-0.4952,-0.003,0.575,-0.269,person1
1.3017,-0.4466,-0.2719,-0.008,0.532,-0.281,person1
1.379,-0.4043,-0.1806,-0.033,-0.013,-0.213,person1
1.4563,-0.4698,-0.2147,0.202,-0.253,-0.323,person1
1.5638,-0.4302,-0.2987,0.484,0.147,-0.534,person1
1.8869,-0.4406,-0.215,0.642,0.585,-0.546,person1
2.2336,-0.2009,0.3347,0.511,0.592,-0.493,person1
2.8242,-0.6753,-0.1998,0.468,0.557,-0.493,person1
3.7559,-1.6174,-0.8471,0.251,0.349,-0.494,person1
4.288,-1.9376,-2.3055,0.21,0.324,-0.497,person1
4.382,-1.7413,-4.4074,0.058,0.256,-0.533,person1
4.1555,-1.9986,-5.8492,0.051,0.255,-0.546,person1
3.0708,-2.6908,-6.6653,0.08,0.194,-0.7,person1
3.2848,-2.1856,-6.5042,0.086,0.176,-0.719,person1
2.9562,-3.2502,-5.1761,0.092,0.152,-0.74,person1
1.4128,-3.4533,-3.472,0.102,0.121,-0.756,person1
1.0377,-2.374,-0.9402,0.117,0.083,-0.772,person1
0.6941,-1.6775,1.0182,0.134,0.051,-0.784,person1
0.2318,-1.4747,2.2658,0.152,0.019,-0.787,person1
-0.1553,-0.9399,3.1171,0.218,0.015,-0.75,person1
-0.1579,-0.4157,3.3014,0.297,0.112,-0.721,person1
-0.0245,-0.46,3.0038,0.81,-0.233,-0.841,person1
-0.5689,-0.3633,2.777,0.868,-0.242,-0.872,person1
-0.3271,-0.0312,-0.4719,0.913,-0.238,-0.904,person1
0.507,0.1401,-1.217,1.126,0.012,-1.097,person1
0.5481,-0.0417,-1.5106,1.233,-0.102,-1.17,person1
