# Target Sample Rate: 100 Hz,,,,
# Max Device Sample Rate: 400 Hz,,,,
# Recording started at: 2026-02-07 14:16:38.835,,,,
time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
1.249675,1.1033,1.047,0.5021,1.6
1.267202,2.2157,0.786,0.1242,2.35
1.270111,2.0729,0.8313,-0.0407,2.23
1.282853,1.3048,0.871,-1.5296,2.19
1.289881,0.7852,0.444,-2.3371,2.51
1.299932,0.4639,0.4483,-2.1675,2.26
1.316087,-0.1761,0.9793,-1.6349,1.91
1.320503,-0.5777,1.304,-1.1656,1.84
1.330243,-0.1025,0.7309,-0.8794,1.15
1.340872,1.367,0.9702,-0.9202,1.91
1.350617,2.8602,0.8252,-0.8984,3.11
1.363227,3.0066,-0.1238,-1.0219,3.18
1.371006,1.7484,-0.1597,-1.3083,2.19
1.381066,0.2103,0.377,-1.6011,1.66
1.391277,-1.0293,0.2965,-1.3359,1.71
1.400936,-1.5902,0.6869,-0.3686,1.77
1.413791,-1.3563,1.2105,0.2008,1.83
1.42142,-0.1243,1.3307,-0.0089,1.34
1.433767,0.8247,0.7356,-1.5917,1.94
1.44627,1.5577,0.3301,-2.4756,2.94
1.451294,1.8006,0,-2.5041,3.08
1.4635,0.3735,-0.9728,-2.4797,2.69
1.471725,-1.4657,-1.5232,-2.3145,3.13
1.482316,-2.0591,-0.9746,-1.7621,2.88
1.491656,-0.8828,-0.3507,-1.6382,1.89
1.501416,-0.3411,0.2885,-0.9277,1.03
1.513663,0.5199,0.6115,-0.1675,0.82
1.522302,0.3532,-0.2844,-0.7839,0.91
1.531977,0.4741,-0.771,-0.3966,0.99
1.546506,0.7218,-0.7561,0.0649,1.05
1.551998,1.2224,-1.1403,-0.0481,1.67
1.563063,0.6741,-1.5926,0.2071,1.74
1.572781,-1.1615,-1.2891,0.1798,1.74
1.582415,-2.36,-0.3769,-0.4569,2.43
1.59685,-2.7517,1.6029,0.8638,3.3
1.602334,-1.4668,0.5417,1.2393,2
1.612972,-0.3096,0.3092,0.7967,0.91
1.623143,1.0319,0.7454,1.0765,1.67
1.63298,1.7229,0.5989,1.1047,2.13
1.647104,1.2578,-0.2189,0.9624,1.6
1.652684,0.6114,-0.6692,0.2817,0.95
1.66297,0.2799,-0.9928,0.5134,1.15
1.673648,0.386,-0.6514,0.8669,1.15
1.682975,-0.1559,-1.3339,0.9575,1.65
1.696749,-1.0628,-2.0648,0.57,2.39
1.703285,-2.0152,-2.1504,0.4541,2.98
1.713266,-2.94,-1.2296,0.8026,3.29
1.723894,-3.2147,-0.1177,1.2261,3.44
1.733293,-3.4306,0.5034,1.5314,3.79
1.746629,-3.3413,0.5528,1.9751,3.92
1.754219,-3.1531,0.4985,2.2008,3.88
1.763558,-2.9489,0.2504,2.3826,3.8
1.774171,-3.0838,-0.1297,2.6699,4.08
1.78372,-2.8092,-0.5908,2.6228,3.89
1.799293,-2.1809,-1.054,2.1048,3.21
1.803842,-1.6961,-0.8053,1.249,2.26
1.813993,-1.4457,-0.3743,0.7298,1.66
1.824622,-1.7456,-0.1414,0.2246,1.77
1.834054,-2.2982,-0.0905,-0.1937,2.31
1.847147,-2.6331,-0.2772,-0.5645,2.71
1.85439,-2.7217,-0.4535,-0.5268,2.81
1.864389,-2.7788,-0.664,0.2222,2.87
1.875094,-2.5012,-0.402,0.8743,2.68
1.884584,-2.8084,0.5962,1.348,3.17
1.896783,-2.7828,0.5602,1.831,3.38
1.904588,-2.8567,-0.1657,1.9063,3.44
1.914635,-2.9771,-0.8704,2.4106,3.93
1.925192,-3.3693,-0.954,2.7448,4.45
1.934758,-3.0266,-0.5677,3.3581,4.56
1.946613,-1.3127,0.7896,3.5991,3.91
1.955186,0.0425,2.4739,2.4296,3.47
1.96502,-0.1999,2.5363,0.9469,2.71
1.980128,-1.0261,1.9863,0.5031,2.29
1.985048,-0.9654,1.0534,0.6841,1.58
1.996712,-0.728,-0.011,0.8572,1.12
2.005578,-0.1035,-1.196,1.0482,1.59
2.015324,0.7173,-2.1335,0.6972,2.36
2.030267,1.6808,-3.0424,0.4514,3.5
2.035449,2.658,-3.7426,0.6917,4.64
2.047415,3.4381,-4.6208,1.0373,5.85
2.055921,3.8787,-5.7462,0.7752,6.98
2.06568,2.6795,-5.4131,-0.4396,6.06
2.080307,0.9865,-4.0905,-1.0476,4.34
2.085777,-0.5482,-2.3564,-1.4164,2.8
2.09699,-1.6209,-0.9955,-1.932,2.71
2.106379,-2.1342,0.0557,-2.0524,2.96
2.116395,-2.7869,0.6425,-2.0748,3.53
2.131207,-2.8053,1.044,-1.7937,3.49
2.136462,-3.3229,1.08,-1.2679,3.72
2.162912,-2.6303,0.6976,-1.0644,2.92
2.179662,0.7482,-0.7099,-1.8297,2.1
2.186907,1.8027,-0.6641,-2.1048,2.85
2.197068,2.5422,-0.4301,-2.2367,3.41
2.207354,2.9406,-0.0941,-1.8713,3.49
2.217274,3.1674,0.3548,-1.5977,3.57
2.233831,3.1861,0.7657,-1.3773,3.55
2.237464,3.0435,1.1288,-1.5691,3.61
2.253812,3.1029,1.4401,-1.9267,3.93
2.257414,3.3056,1.7084,-2.2231,4.33
2.268602,3.5035,2.0301,-2.4622,4.74
2.283113,3.5353,2.3932,-2.5716,4.98
2.287376,3.5039,3.0048,-2.3651,5.19
2.297714,3.5189,3.52,-2.3031,5.48
2.307736,3.425,3.7363,-2.2068,5.53
2.317572,3.1671,3.7198,-1.9979,5.28
2.329976,2.7812,3.5689,-1.6495,4.82
2.338053,2.3737,3.2448,-1.201,4.2
2.347979,2.0078,2.7623,-0.4331,3.44
2.358305,1.5998,2.1043,0.5059,2.69
2.36799,1.0371,1.3287,1.7387,2.42
2.380703,0.2468,0.4722,3.1975,3.24
2.388181,-0.6791,-0.6596,4.7095,4.8
2.39808,-2.0683,-2.113,6.5264,7.16
2.415056,-3.432,-3.9266,7.7875,9.37
2.418216,-3.8671,-5.7892,7.8275,10.48
2.430505,-3.1848,-6.6296,6.9639,10.13
2.438907,-1.6357,-4.8761,5.5064,7.53
2.44872,-0.1851,-2.3992,3.7657,4.47
2.463676,1.0361,-0.127,2.127,2.37
2.468625,2.176,1.7491,0.8912,2.93
2.480565,3.3166,2.6964,0.1275,4.28
2.489235,4.1267,1.2987,0.1017,4.33
2.498904,3.6983,-1.7078,-0.8722,4.17
2.513738,2.9012,-5.1249,-1.5782,6.1
2.51918,1.5794,-8.4248,-2.2063,8.85
2.529667,-0.8047,-9.6511,-3.2791,10.22
2.539702,-2.775,-7.9786,-2.0141,8.68
2.551326,-3.8865,-3.1746,-0.0607,5.02
2.563764,-3.027,1.9778,-1.8844,4.08
2.569189,1.0631,5.4694,-5.1118,7.56
2.580903,4.7147,6.3792,-7.3929,10.84
2.589786,6.5791,5.4978,-6.7884,10.94
2.599605,7.2846,4.3169,-4.1374,9.42
2.614942,7.0902,2.7184,-0.7289,7.63
2.619751,5.1496,0.4687,0.4949,5.19
2.631097,2.9158,-0.876,-1.4634,3.38
2.640321,1.02,-1.8282,-3.3214,3.93
2.650125,-0.5589,-2.4595,-4.3582,5.04
2.664128,-1.788,-2.6722,-4.5165,5.54
2.670377,-2.7338,-2.3636,-3.4876,5.02
2.680696,-3.6328,-1.4687,-1.2875,4.12
2.690591,-4.0982,-0.3647,0.5706,4.15
2.700447,-4.1248,0.5163,1.3074,4.36
2.716591,-3.8219,0.9669,1.0426,4.08
2.720666,-2.3867,1.0077,0.4664,2.63
2.732783,-0.4683,0.5406,0.4592,0.85
2.741235,0.806,0.0622,0.8894,1.2
2.751009,1.4992,0.0872,1.1131,1.87
2.764758,1.8639,0.4847,1.0083,2.17
2.771367,1.7114,0.5081,0.7741,1.95
2.781565,1.0931,0.5897,0.5345,1.35
2.791674,-0.0283,0.6052,0.4491,0.75
2.801147,-1.2261,0.4695,0.4663,1.39
