# Target Sample Rate: 100 Hz,,,,
# Max Device Sample Rate: 400 Hz,,,,
# Recording started at: 2026-02-07 14:10:19.081,,,,
time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.006895,0.2235,0.0455,-0.3706,0.44
0.024719,0.3604,-0.0436,-0.3054,0.47
0.026826,0.3369,0.0209,-0.3026,0.45
0.037301,0.317,0.0316,-0.301,0.44
0.056987,0.2582,0,-0.3096,0.4
0.057078,0.1588,0.0614,-0.3651,0.4
0.073904,-0.0379,0.1601,-0.4994,0.53
0.085322,0.044,0.0374,-0.4891,0.49
0.088902,0.1225,-0.018,-0.4189,0.44
0.097374,-0.0267,0.119,-0.4888,0.5
0.111872,-0.0853,0.0729,-0.4112,0.43
0.117421,-0.0435,0.0094,-0.4517,0.45
0.128769,-0.0485,0.1448,-0.2662,0.31
0.138866,-0.1038,0.0253,-0.3686,0.38
0.148162,-0.0374,-0.1115,-0.219,0.25
0.162216,-0.226,-0.0121,-0.3686,0.43
0.168095,-0.1068,-0.0007,-0.2429,0.27
0.180446,-0.1222,0.042,-0.2393,0.27
0.188444,-0.0151,0.0007,-0.103,0.1
0.198703,-0.0979,0.0361,-0.1198,0.16
0.212201,0.0544,-0.0605,-0.0272,0.09
0.218428,-0.0115,-0.0201,-0.0883,0.09
0.228636,0.0888,-0.0697,-0.0791,0.14
0.239082,-0.0353,0.0139,-0.2296,0.23
0.248854,0.0793,-0.0697,-0.202,0.23
0.26329,-0.091,0.1232,-0.2874,0.33
0.268799,-0.0229,0.0044,-0.1594,0.16
0.279691,-0.1336,-0.1008,-0.2281,0.28
0.289576,-0.1424,-0.0838,-0.1516,0.22
0.299035,0.0352,-0.2574,-0.0992,0.28
0.312886,0.2298,0.1001,-0.1757,0.31
0.318968,-0.1553,0.7167,0.1114,0.74
0.329513,-0.603,0.3461,-0.1296,0.71
0.339725,-0.3733,0.1451,-0.0768,0.41
0.349416,-0.1521,0.1457,0.0531,0.22
0.363582,-0.0568,0.1844,0.2416,0.31
0.36943,-0.096,0.3601,0.4156,0.56
0.379695,-0.3462,0.8301,0.5723,1.07
0.389961,-0.4257,1.0096,0.6491,1.27
0.399782,-0.4399,1.3281,0.8412,1.63
0.412416,-0.8807,1.7351,0.9102,2.15
0.419837,-0.64,1.4434,0.8662,1.8
0.430367,-0.5723,2.1242,0.9848,2.41
0.440555,-0.6464,2.1664,0.8886,2.43
0.450711,-0.7347,2.1815,0.8576,2.46
0.46301,-0.7993,2.3419,0.7749,2.59
0.470704,-0.7545,1.6603,0.7994,1.99
0.480504,-0.8614,2.2221,0.75,2.5
0.496248,-0.7764,1.8302,0.6724,2.1
0.500391,-0.6644,1.4446,0.7442,1.76
0.512757,-0.6576,1.7987,0.7174,2.05
