# Target Sample Rate: 100 Hz,,,,
# Max Device Sample Rate: 400 Hz,,,,
# Recording started at: 2026-02-07 14:05:53.723,,,,
time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.018544,-0.0758,0.0706,0.2675,0.29
0.0355,-0.2555,0.256,-0.1179,0.38
0.047618,-0.1614,0.2227,-0.0038,0.28
0.065122,-0.0887,0.225,0.0821,0.26
0.066614,-0.1832,0.369,0.0565,0.42
0.081417,-0.2537,0.3449,-0.1597,0.46
0.086867,-0.0587,0.132,-0.3798,0.41
0.099685,0.207,0.0819,-0.29,0.37
0.114366,0.3723,0.1639,-0.0556,0.41
0.116996,0.3439,0.2186,0.0593,0.41
0.130701,0.2268,0.23,0.1782,0.37
0.137988,0.137,0.1726,0.1736,0.28
0.1477,0.0323,0.1397,0.0922,0.17
0.164822,-0.1716,0.1994,0.0911,0.28
0.167509,-0.2355,0.289,0.1992,0.42
0.18217,-0.1646,0.3161,0.2113,0.41
0.187583,-0.145,0.1918,0.1754,0.3
0.198061,-0.2378,0.0702,0.2052,0.32
0.215206,-0.2176,0.0063,0.3667,0.43
0.217797,-0.17,-0.0377,0.5206,0.55
0.23267,-0.0857,-0.0223,0.7861,0.79
0.2379,0.0585,0.0057,1.0033,1
0.25108,0.0433,0.0298,0.9571,0.96
0.265966,-0.0529,-0.0353,0.6967,0.7
0.26802,-0.1151,-0.1109,0.3446,0.38
0.282814,-0.0735,-0.1553,0.1601,0.23
0.288359,0.0321,-0.2277,0.1547,0.28
0.298404,0.1581,-0.3037,0.2421,0.42
0.314182,0.1782,-0.3682,0.34,0.53
0.318391,0.1211,-0.3235,0.39,0.52
0.3313,-0.0449,-0.2202,0.5078,0.56
0.339499,-0.1612,-0.0877,0.5673,0.6
0.349501,-0.2537,-0.0395,0.6329,0.68
0.365701,-0.3182,0.0331,0.4877,0.58
0.368899,-0.3365,-0.038,0.0981,0.35
0.382622,-0.2482,-0.1218,-0.1421,0.31
0.400817,-0.1192,-0.0795,-0.2264,0.27
0.416238,-0.1917,-0.0407,0.0011,0.2
0.431318,-0.1348,-0.1899,0.6416,0.68
0.439801,-0.2139,-0.1058,0.9205,0.95
0.449865,-0.3165,-0.2281,1.2496,1.31
0.465455,-0.4267,-0.5047,1.5702,1.7
0.469898,-0.7379,-0.7027,1.7591,2.03
0.482026,-1.0889,-0.7921,1.9075,2.33
0.50037,-1.4796,-0.793,1.9333,2.56
0.50061,-1.7502,-0.7551,1.8079,2.63
0.515129,-1.9731,-0.8585,1.8118,2.81
0.519944,-1.9067,-1.0163,1.6782,2.74
0.536415,-1.6624,-1.2118,1.4039,2.49
0.554002,-1.0807,-1.238,0.5803,1.74
